location;tournament;match_date;series;court;surface;round;best_of;winner;loser;wrank;lrank;wpts;lpts;w1;l1;w2;l2;w3;l3;w4;l4;w5;l5;tourney_id
Doha;Qatar Exxon Mobil Open;06.01.2020;ATP250;Outdoor;Hard;1st Round;3;Bublik A.;Mannarino A.;550;430;9190;11110;6;3;6;4;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;06.01.2020;ATP250;Outdoor;Hard;1st Round;3;Moutet C.;Sandgren T.;810;680;6380;8030;7;6;6;4;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;06.01.2020;ATP250;Outdoor;Hard;1st Round;3;Verdasco F.;Andujar P.;490;640;10250;8670;6;4;6;3;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;06.01.2020;ATP250;Outdoor;Hard;1st Round;3;Bedene A.;Ymer M.;580;760;9050;6810;3;6;6;4;6;3;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;06.01.2020;ATP250;Outdoor;Hard;1st Round;3;Chardy J.;Barrere G.;540;830;9200;6360;6;3;3;6;6;3;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;06.01.2020;ATP250;Outdoor;Hard;1st Round;3;Kecmanovic M.;Thompson J.;620;630;8810;8780;6;4;6;2;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;06.01.2020;ATP250;Outdoor;Hard;1st Round;3;Krajinovic F.;Edmund K.;400;690;11480;8000;4;6;6;3;6;3;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;07.01.2020;ATP250;Outdoor;Hard;1st Round;3;Djere L.;Sonego L.;390;510;11510;9900;6;1;3;6;6;2;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;07.01.2020;ATP250;Outdoor;Hard;1st Round;3;Fucsovics M.;Tiafoe F.;700;470;7900;10500;6;4;4;6;6;4;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;07.01.2020;ATP250;Outdoor;Hard;1st Round;3;Ilkel C.;Berankis R.;2790;670;1440;8040;6;2;4;6;6;2;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;07.01.2020;ATP250;Outdoor;Hard;1st Round;3;Kukushkin M.;Jaziri M.;660;2290;8160;2060;6;0;6;3;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;07.01.2020;ATP250;Outdoor;Hard;1st Round;3;Herbert P.H.;Cecchinato M.;650;750;8400;6900;6;3;6;4;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;07.01.2020;ATP250;Outdoor;Hard;2nd Round;3;Bedene A.;Bublik A.;580;550;9050;9190;6;3;7;5;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;07.01.2020;ATP250;Outdoor;Hard;2nd Round;3;Wawrinka S.;Chardy J.;150;540;19550;9200;6;3;6;4;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;08.01.2020;ATP250;Outdoor;Hard;2nd Round;3;Rublev A.;Kukushkin M.;230;660;15840;8160;6;4;6;2;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;08.01.2020;ATP250;Outdoor;Hard;2nd Round;3;Fucsovics M.;Ilkel C.;700;2790;7900;1440;6;1;6;4;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;08.01.2020;ATP250;Outdoor;Hard;2nd Round;3;Verdasco F.;Krajinovic F.;490;400;10250;11480;7;5;4;6;6;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;08.01.2020;ATP250;Outdoor;Hard;2nd Round;3;Herbert P.H.;Djere L.;650;390;8400;11510;6;1;6;3;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;08.01.2020;ATP250;Outdoor;Hard;2nd Round;3;Kecmanovic M.;Tsonga J.W.;620;300;8810;13400;7;6;6;1;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;08.01.2020;ATP250;Outdoor;Hard;2nd Round;3;Moutet C.;Raonic M.;810;320;6380;13050;7;6;7;6;0;0;0;0;0;0;2020-001
Doha;Qatar Exxon Mobil Open;09.01.2020;ATP250;Outdoor;Hard;Quarterfinals;3;Kecmanovic M.;Fucsovics M.;620;700;8810;7900;6;2;6;0;0;0;0;0;0;0;2020-001
