location,tournament,match_date,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,tourney_id
Doha,Qatar Exxon Mobil Open,2020-01-06,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Mannarino A.,55.0,43.0,919.0,1111.0,6,3,6,4,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-06,ATP250,Outdoor,Hard,1st Round,3,Moutet C.,Sandgren T.,81.0,68.0,638.0,803.0,7,6,6,4,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-06,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Andujar P.,49.0,64.0,1025.0,867.0,6,4,6,3,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-06,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Ymer M.,58.0,76.0,905.0,681.0,3,6,6,4,6,3,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-06,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Barrere G.,54.0,83.0,920.0,636.0,6,3,3,6,6,3,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-06,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Thompson J.,62.0,63.0,881.0,878.0,6,4,6,2,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-06,ATP250,Outdoor,Hard,1st Round,3,Krajinovic F.,Edmund K.,40.0,69.0,1148.0,800.0,4,6,6,3,6,3,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-07,ATP250,Outdoor,Hard,1st Round,3,Djere L.,Sonego L.,39.0,51.0,1151.0,990.0,6,1,3,6,6,2,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-07,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Tiafoe F.,70.0,47.0,790.0,1050.0,6,4,4,6,6,4,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-07,ATP250,Outdoor,Hard,1st Round,3,Ilkel C.,Berankis R.,279.0,67.0,144.0,804.0,6,2,4,6,6,2,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-07,ATP250,Outdoor,Hard,1st Round,3,Kukushkin M.,Jaziri M.,66.0,229.0,816.0,206.0,6,0,6,3,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-07,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H.,Cecchinato M.,65.0,75.0,840.0,690.0,6,3,6,4,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-07,ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Bublik A.,58.0,55.0,905.0,919.0,6,3,7,5,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-07,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Chardy J.,15.0,54.0,1955.0,920.0,6,3,6,4,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-08,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Kukushkin M.,23.0,66.0,1584.0,816.0,6,4,6,2,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-08,ATP250,Outdoor,Hard,2nd Round,3,Fucsovics M.,Ilkel C.,70.0,279.0,790.0,144.0,6,1,6,4,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-08,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,Krajinovic F.,49.0,40.0,1025.0,1148.0,7,5,4,6,6,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-08,ATP250,Outdoor,Hard,2nd Round,3,Herbert P.H.,Djere L.,65.0,39.0,840.0,1151.0,6,1,6,3,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-08,ATP250,Outdoor,Hard,2nd Round,3,Kecmanovic M.,Tsonga J.W.,62.0,30.0,881.0,1340.0,7,6,6,1,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-08,ATP250,Outdoor,Hard,2nd Round,3,Moutet C.,Raonic M.,81.0,32.0,638.0,1305.0,7,6,7,6,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Kecmanovic M.,Fucsovics M.,62.0,70.0,881.0,790.0,6,2,6,0,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Herbert P.H.,23.0,65.0,1584.0,840.0,6,4,6,3,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Moutet C.,Verdasco F.,81.0,49.0,638.0,1025.0,6,4,4,6,6,4,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Bedene A.,15.0,58.0,1955.0,905.0,6,3,6,4,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-10,ATP250,Outdoor,Hard,Semifinals,3,Rublev A.,Kecmanovic M.,23.0,62.0,1584.0,881.0,6,3,6,1,0,0,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-10,ATP250,Outdoor,Hard,Semifinals,3,Moutet C.,Wawrinka S.,81.0,15.0,638.0,1955.0,3,6,7,5,6,3,0,0,0,0,2020-001
Doha,Qatar Exxon Mobil Open,2020-01-11,ATP250,Outdoor,Hard,The Final,3,Rublev A.,Moutet C.,23.0,81.0,1584.0,638.0,6,2,7,6,0,0,0,0,0,0,2020-001
Auckland,ASB Classic,2020-01-12,ATP250,Outdoor,Hard,1st Round,3,Bublik A.,Fritz T.,55.0,32.0,934.0,1335.0,6,4,7,6,0,0,0,0,0,0,2020-002
Auckland,ASB Classic,2020-01-12,ATP250,Outdoor,Hard,1st Round,3,Cuevas P.,Opelka R.,44.0,38.0,1097.0,1227.0,5,7,7,6,7,6,0,0,0,0,2020-002
